method,metric,n,mean,ci95_low,ci95_high
ESM3,abs_spearman,217,0.48270664164868415,0.45730406403969925,0.5055252542573634
PoET,abs_spearman,217,0.48984315518826466,0.4697892163720737,0.5099626504392387
ProSST-1024,abs_spearman,217,0.503672990557456,0.4784650021092591,0.5257140292561825
ProSST-2048,abs_spearman,217,0.5225210688290297,0.5005155877880245,0.5459871664242897
ProSST-4096,abs_spearman,217,0.5123230720906271,0.48827106303180645,0.5377536038378656
S2F_MSA,abs_spearman,217,0.5081695099203394,0.4891484131338744,0.5269143717361766
S3F_MSA,abs_spearman,217,0.5155920204594435,0.49556776705576877,0.5358544239524051
Site_Independent,abs_spearman,217,0.37239354520979173,0.3508859387717096,0.39257562184022826
VenusREM,abs_spearman,217,0.5357198674417243,0.5147172519034732,0.557441772697226
