budget,ci95_high,ci95_low,epistasis_bin,k,mean,method,metric,n,score,selection_policy,source
20,-0.004715580093485541,-0.05463965804595169,high_epistasis,,-0.028571549125956937,,delta_spearman,55,,high_additive_disagreement_proxy,informative_double_selection_heldout_detail.csv
20,-0.0056565656565656566,-0.07229437229437229,high_epistasis,,-0.03737373737373737,,delta_top1pct_recall,55,,high_additive_disagreement_proxy,informative_double_selection_heldout_detail.csv
20,-0.008739957850735237,-0.021453857290724868,high_epistasis,,-0.014651542705590069,,delta_spearman,55,,oracle_high_residual,informative_double_selection_heldout_detail.csv
20,-0.017702378967703748,-0.05274389497830529,high_epistasis,,-0.03392581772800493,,delta_top1pct_recall,55,,oracle_high_residual,informative_double_selection_heldout_detail.csv
50,0.049186726350433196,0.007950964819393622,high_epistasis,,0.026872969353790178,,delta_spearman,55,,random_doubles,informative_double_selection_heldout_detail.csv
50,0.1375940523925124,0.049816545655513064,high_epistasis,,0.09171434479239352,,delta_top1pct_recall,55,,random_doubles,informative_double_selection_heldout_detail.csv
50,0.05158646084680408,0.010129444996764622,high_epistasis,,0.028886070621239865,,delta_spearman,55,,coverage_proxy,informative_double_selection_heldout_detail.csv
50,0.12579216273487592,0.04312108666526469,high_epistasis,,0.08281269496608179,,delta_top1pct_recall,55,,coverage_proxy,informative_double_selection_heldout_detail.csv
50,-0.012060633309207458,-0.10622570969383056,high_epistasis,,-0.05907137339910971,,delta_spearman,55,,high_additive_disagreement_proxy,informative_double_selection_heldout_detail.csv
50,0.1306158008658007,0.017010822510822508,high_epistasis,,0.07380952380952381,,delta_top1pct_recall,55,,high_additive_disagreement_proxy,informative_double_selection_heldout_detail.csv
50,-0.011445131341505868,-0.027895385151022703,high_epistasis,,-0.01896678100070307,,delta_spearman,55,,oracle_high_residual,informative_double_selection_heldout_detail.csv
50,-0.01620863555179659,-0.08062941008733132,high_epistasis,,-0.04623423475821311,,delta_top1pct_recall,55,,oracle_high_residual,informative_double_selection_heldout_detail.csv
100,0.04818441987959986,0.006020932103984904,high_epistasis,,0.025519482383712124,,delta_spearman,55,,random_doubles,informative_double_selection_heldout_detail.csv
100,0.12435196162330188,0.03984818968866865,high_epistasis,,0.07954397870289484,,delta_top1pct_recall,55,,random_doubles,informative_double_selection_heldout_detail.csv
100,0.049358239909120735,0.007574714281119288,high_epistasis,,0.026678564962616596,,delta_spearman,55,,coverage_proxy,informative_double_selection_heldout_detail.csv
100,0.12732202152006925,0.0429969890401333,high_epistasis,,0.08367665477819258,,delta_top1pct_recall,55,,coverage_proxy,informative_double_selection_heldout_detail.csv
100,0.012627417271620985,-0.06911580494060132,high_epistasis,,-0.029484563661593393,,delta_spearman,55,,high_additive_disagreement_proxy,informative_double_selection_heldout_detail.csv
100,0.10661988936988935,0.011871091871091874,high_epistasis,,0.05839345839345839,,delta_top1pct_recall,55,,high_additive_disagreement_proxy,informative_double_selection_heldout_detail.csv
100,-0.010871057882033014,-0.022966135018325846,high_epistasis,,-0.016716521378802914,,delta_spearman,55,,oracle_high_residual,informative_double_selection_heldout_detail.csv
100,-0.011565585964555258,-0.084144220468732,high_epistasis,,-0.044378973135288775,,delta_top1pct_recall,55,,oracle_high_residual,informative_double_selection_heldout_detail.csv
20,0.014682630183378391,-0.00191568673187682,low_mid_epistasis,,0.006499027321544296,,delta_spearman,275,,random_doubles,informative_double_selection_heldout_detail.csv
20,0.024721718846605872,-0.011384841525376164,low_mid_epistasis,,0.00693478530861974,,delta_top1pct_recall,275,,random_doubles,informative_double_selection_heldout_detail.csv
20,0.015011788176330622,-0.0036632000005376356,low_mid_epistasis,,0.005829191909745838,,delta_spearman,275,,coverage_proxy,informative_double_selection_heldout_detail.csv
20,0.029923831428695386,-0.002464739483488965,low_mid_epistasis,,0.0135466105846241,,delta_top1pct_recall,275,,coverage_proxy,informative_double_selection_heldout_detail.csv
20,-0.06550757906668579,-0.10021398668475572,low_mid_epistasis,,-0.08244552884607613,,delta_spearman,275,,high_additive_disagreement_proxy,informative_double_selection_heldout_detail.csv
