budget,regime,model,zero_shot_method,n_rows,mean_best_top100_percentile,mean_top1pct_recall_at_100,mean_abs_spearman_all
20,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1065,0.9943112533147243,0.18393606905094112,0.48908964018254775
20,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1065,0.9920752623444653,0.18370256298530166,0.48867001880025535
20,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1065,0.9934583421841909,0.18644528410341088,0.48357743639018413
50,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1065,0.9953953816439155,0.21204240186926804,0.5569855231731503
50,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1065,0.995159320168299,0.2107658105805694,0.5555616793528317
50,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1065,0.9951838403176267,0.20566299273302094,0.5579064786875375
100,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1060,0.9959124625509999,0.22906544816555638,0.5883012302085177
100,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1060,0.9959606773391635,0.2226130626890216,0.580477781787391
100,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1060,0.9956005243974513,0.21876379850138253,0.5842996273371971
