assay,seed,budget,regime,model,features,n_features,ridge,n_train,n_test,spearman_all,top1pct_recall_at_100,best_true_in_pred_top_100,best_true_in_pred_top_100_percentile
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,20,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,0.10057264926627282,0.0,2.908,0.9804772234273319
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,20,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,-0.04794321029472563,0.2,5.07,0.9989154013015185
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,20,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,-0.028697906583346748,0.1,3.455,0.9891540130151844
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,50,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,872,-0.006121874947247354,0.0,3.249,0.9880694143167028
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,50,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,872,-0.026381908194932028,0.1111111111111111,4.203,0.9967462039045553
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,50,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,872,0.07753702196695526,0.1111111111111111,3.576,0.9913232104121475
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,100,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,822,0.061728037502164546,0.1111111111111111,3.921,0.9934924078091106
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,100,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,822,-0.025730212369956346,0.3333333333333333,6.211,1.0
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,100,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,822,0.09875679025305967,0.0,3.249,0.9880694143167028
A0A1I9GEU1_NEIME_Kennouche_2019.csv,3,20,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,902,0.00010823993047234597,0.0,2.858,0.9783080260303688
