budget,regime,model,zero_shot_method,n_rows,mean_best_top100_percentile,mean_top1pct_recall_at_100,mean_abs_spearman_all
20,mixed_random,hist_gradient_boosting,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9835863382229856,0.10976291610832074,nan
20,mixed_random,additive_plus_zscore,VespaG,1062,0.9824204123531083,0.11210634858500293,0.4828834499657731
20,mixed_random,mutation_order_mean,mutation_identity,1065,0.9822679471668435,0.11060850001535905,0.3910246468540166
20,single_only,ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9940764046243817,0.18842471010725081,0.5139983265032156
20,single_only,additive_plus_top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9935730875102413,0.1848726202248965,0.5022020843123737
20,single_only,zscore_linear,S2F_MSA,1065,0.9932669504356699,0.1674554375949679,0.5095203773284431
20,single_only,additive_plus_zscore,S2F,1065,0.9932072889850522,0.16800165224456232,0.47017112906849867
20,single_only,zscore_linear,S3F_MSA,1065,0.9929402611884399,0.16424314532965617,0.5166522085842336
20,single_only,additive_plus_zscore,S2F_MSA,1065,0.9927648080504893,0.16375558075662316,0.49933325662922845
20,single_only,zscore_linear,PoET,1065,0.9925630118895425,0.16349227380471493,0.4905991846011866
20,single_only,additive_plus_zscore,S3F,1065,0.9925501796735936,0.17525932331593852,0.48351203452073505
20,single_only,additive_plus_zscore,S3F_MSA,1065,0.9923602485019903,0.16000455885768922,0.5064243953005516
20,single_only,additive_plus_zscore,ProtSSN_ensemble,1065,0.9923176226115931,0.1650011375761814,0.46553298806718185
20,single_only,top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9922335269243899,0.1861590008833418,0.5046207491030414
20,single_only,random_forest,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9921462097270426,0.14879954620806568,0.49577420366583685
20,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1065,0.9920752623444653,0.18370256298530166,0.48867001880025535
20,single_only,additive_plus_zscore,PoET,1065,0.9920432635155649,0.15789082484599534,0.47997934815758075
20,single_only,zscore_linear,S3F,1065,0.9920101784279104,0.17831324754048225,0.48954722504521786
20,single_only,additive_plus_zscore,RSALOR,1065,0.9919032721260537,0.1528351024033648,0.4746572981875724
20,single_only,zscore_linear,S2F,1065,0.991805599874337,0.17124723822777874,0.4758031384598036
20,single_only,zscore_linear,RSALOR,1065,0.9914471608728409,0.1553625741946932,0.48551693503045584
20,single_only,additive_plus_zscore,VenusREM,1065,0.9913428923423839,0.1884452290383549,0.5279094797070665
20,single_only,additive_plus_zscore,ESCOTT,1065,0.9912930581733045,0.12827755683766412,0.48889322056530815
20,single_only,xgboost,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9912238343983744,0.14841643410903874,0.4643858147208279
20,single_only,additive_plus_zscore,ESM3,1065,0.9911659399590309,0.18524820127929711,0.47558171655052406
20,single_only,zscore_linear,ProtSSN_ensemble,1065,0.9911566323056453,0.16969679383320735,0.4739417412854469
20,single_only,additive_plus_zscore,SaProt_650M_AF2,1065,0.9911092157336148,0.16637605772332775,0.46741163667587854
20,single_only,zscore_linear,ESCOTT,1065,0.9910804426555084,0.12763308862155012,0.4999575086808997
20,single_only,zscore_linear,TranceptEVE_L,1065,0.9910186951679665,0.15621372909140802,0.47665582779299304
20,single_only,additive_plus_zscore,TranceptEVE_M,1065,0.9909559016644848,0.15491394183942148,0.46528861810842814
20,single_only,elastic_net,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9909432472555295,0.1673687259582577,0.5600097487909492
20,single_only,additive_plus_zscore,TranceptEVE_L,1065,0.9908165649001223,0.151744870080345,0.4671818273749411
20,single_only,zscore_linear,TranceptEVE_M,1065,0.9906505057691829,0.15769759159390315,0.475601399332143
20,single_only,zscore_linear,ProSST-4096,1065,0.9903927451694111,0.1776962727775362,0.5126180572027558
20,single_only,zscore_linear,SaProt_650M_AF2,1065,0.990299612190761,0.1710103039832375,0.4727659093655945
20,single_only,additive_plus_zscore,ProSST-2048,1065,0.9899715645075242,0.19586300183026453,0.5149048646876772
20,single_only,additive_plus_zscore,ProSST-4096,1065,0.9899319557976097,0.1713031583078239,0.49941130196187644
20,single_only,zscore_linear,ProSST-1024,1065,0.9897394278278245,0.2034633402807087,0.5034534206196823
20,single_only,additive_plus_zscore,GEMME,1065,0.9894523949908395,0.12796805027330768,0.4643154835834144
20,single_only,zscore_linear,VenusREM,1065,0.9894043479371368,0.194392198222864,0.5364232524145854
20,single_only,zscore_linear,GEMME,1065,0.9893752490615608,0.13148468369880226,0.4757405366948583
20,single_only,zscore_linear,ESM3,1065,0.9892199587500515,0.1909645906425506,0.48258018418994963
20,single_only,additive_plus_zscore,ProSST-1024,1065,0.9891783062175971,0.19728185645053087,0.4921235945934822
20,single_only,zscore_linear,ProSST-128,1065,0.9888515168305735,0.18752945234726429,0.4852343788748842
20,single_only,additive_plus_zscore,ProSST-128,1065,0.9881943625132502,0.18086326068400335,0.47335430019767166
20,single_only,additive_plus_zscore,ProSST-512,1065,0.987503148557178,0.1752613087724723,0.47770582777429904
20,single_only,zscore_linear,ProSST-512,1065,0.9870349649348938,0.18103290092459975,0.488956067809559
20,single_only,additive_plus_zscore,VespaG,1065,0.986768340731641,0.10802428454766641,0.47264892311304135
20,single_only,zscore_linear,VespaG,1065,0.9853520905761898,0.10729770320154879,0.482120334183204
20,single_only,zscore_linear,ProSST-2048,1065,0.9850432708393084,0.20169834401554992,0.5228958286500758
20,single_only,global_mean,mutation_identity,1065,0.9833755828368584,0.11124643191659223,nan
20,single_only,mutation_order_mean,mutation_identity,1065,0.9833755828368584,0.11124643191659223,nan
20,single_only,hist_gradient_boosting,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9833755828368584,0.11124643191659223,nan
20,single_only,additive_lookup,none,1065,0.9833290814953829,0.11009542766250538,0.07723356986596368
20,single_only,lasso,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9833290814953829,0.11009542766250538,0.07723356986596368
20,single_only,additive_plus_site_ridge,mutation_identity,1065,0.9826819767755945,0.10962325314578901,0.11387915358302149
20,single_only,onehot_site_ridge,mutation_identity,1065,0.9812597828728129,0.10936387218469779,0.12326066337459654
20,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1065,0.9934583421841909,0.18644528410341088,0.48357743639018413
20,single_plus_double,top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9929716065638305,0.1919429512001118,0.5055324667288965
20,single_plus_double,zscore_linear,ESM3,1065,0.9929054634178158,0.18495715712735925,0.48354998663147053
20,single_plus_double,ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.992858281290105,0.1842838336120562,0.5067102869718246
20,single_plus_double,zscore_linear,PoET,1065,0.9928037656248903,0.162396263977445,0.4909653830966114
20,single_plus_double,additive_plus_top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,0.9923325342369209,0.1846349498068462,0.49842235505768606
20,single_plus_double,zscore_linear,TranceptEVE_L,1065,0.992269044877137,0.1559456168603363,0.4770747432953258
20,single_plus_double,zscore_linear,RSALOR,1065,0.9921675556184253,0.1536796486809508,0.48589201869690957
