budget,model,method,n_pairs,n_pairs_spearman_doubles,n_pairs_spearman_higher,n_pairs_spearman_all,n_pairs_top1pct_recall_at_100,mean_delta_spearman_doubles,mean_delta_spearman_higher,mean_delta_spearman_all,mean_delta_top1pct_recall_at_100
20,onehot_site_ridge,mutation_identity,1065,268,40,281,1065,0.14087552676515033,0.15189459009653217,0.3164038793475086,0.0024611100279701413
20,additive_plus_site_ridge,mutation_identity,1065,268,40,280,1065,0.1389454680511542,0.13472038182017942,0.3044476982378829,0.0022437454126126195
20,additive_plus_top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,325,40,1061,1065,0.0672871459831822,-0.01808764686608609,-0.007989110420312428,-0.0002376704180503333
20,top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1065,325,40,1065,1065,0.06119415461819913,0.012656426540026544,-4.031165251941304e-05,0.005783950316769963
20,zscore_linear,TranceptEVE_L,1065,325,40,1065,1065,0.033717823890701666,0.032107258989371744,0.003916616809886039,-0.0002681122310716759
20,additive_plus_zscore,TranceptEVE_L,1065,325,40,1060,1065,0.030126570330933612,0.1647942167213017,0.0012670618693601987,0.001702842817652573
20,additive_plus_zscore,TranceptEVE_M,1065,325,40,1060,1065,0.02323018810901011,0.13891002901198066,0.0017396354516106118,0.002373058770971628
20,zscore_linear,TranceptEVE_M,1065,325,40,1065,1065,0.021487878559736554,0.0034431558568769867,0.001991033185719042,0.0014948272372604778
20,additive_plus_zscore,RSALOR,1065,325,40,1060,1065,0.01566177121698553,0.15327123729071673,-0.004085133812678483,-0.0007960838423149955
20,additive_plus_zscore,PoET,1065,325,40,1060,1065,0.01561372867470883,0.13899311028744468,0.0002571420466080274,0.002409320985434993
20,additive_plus_zscore,S3F_MSA,1065,325,40,1060,1065,0.01345915008046739,0.13067528076839172,-0.008298294826839938,0.001046311723877665
20,additive_plus_zscore,ProSST-1024,1065,325,40,1060,1065,0.012821914503373662,0.1517381057849832,-0.005969017428863426,0.002734408779034387
20,zscore_linear,PoET,1065,325,40,1065,1065,0.012577793773194389,-0.02380780652724869,0.00046511556420347663,-0.001096009827269944
20,zscore_linear,RSALOR,1065,325,40,1065,1065,0.012419966900447246,0.010455541006312965,0.002332628418031977,-0.0016829255137423961
20,zscore_linear,GEMME,1065,325,40,1065,1065,0.012327781751705486,0.014431774579315108,-0.005520978123012102,0.00034339954777327957
20,additive_plus_zscore,GEMME,1065,325,40,1060,1065,0.01202340578187196,0.10607280323552995,-0.007516931289181603,0.0031348126479070976
20,additive_plus_zscore,S2F_MSA,1065,325,40,1060,1065,0.009524246678267009,0.06660631329998146,-0.007418080039629313,0.0006294804766535925
20,zscore_linear,ESM3,1065,325,40,1065,1065,0.007106041089477863,0.07499220290971075,0.0005633960489331261,-0.006007433515191367
20,zscore_linear,S2F_MSA,1065,325,40,1065,1065,0.006093936047005307,-0.022635431970907123,-0.002276889768792824,0.000428274387207793
20,zscore_linear,S3F_MSA,1065,325,40,1065,1065,0.0047028049904212395,-0.036830169925584556,-0.004083464258574025,0.0009253064212255369
20,zscore_linear,SaProt_650M_AF2,1065,325,40,1065,1065,0.004500083394258779,0.02112271182900914,-0.0037293238178360034,-0.003683670963162985
20,additive_plus_zscore,ProSST-512,1065,325,40,1060,1065,0.004308900959917216,0.15232695479303243,-0.008950607808101684,0.0004115034100786052
20,zscore_linear,ESCOTT,1065,325,40,1065,1065,0.004083584045248984,0.0,-0.0001637289802151786,-0.0005966363639276338
20,zscore_linear,ProSST-512,1065,325,40,1065,1065,0.004020076362110858,0.006353497774146696,-0.002718357842725085,-1.870330536161454e-05
20,additive_plus_zscore,ESCOTT,1065,325,40,1060,1065,0.0039109251287588786,0.15167771869842028,-0.0028870036228156168,0.0010918987412967469
20,additive_plus_zscore,ProSST-4096,1065,325,40,1060,1065,0.003613073016954856,0.1691055168035316,-0.009940985988550283,0.0016526650998065768
20,zscore_linear,VenusREM,1065,325,40,1065,1065,0.002738372897106068,0.001833612011291097,-0.0025670817537871435,-0.0022984255944010906
20,zscore_linear,VespaG,1065,325,40,1065,1065,0.0027090848679232767,-0.0273207966771169,-0.003865445955582806,0.002096516254685625
20,additive_plus_zscore,ProSST-128,1065,325,40,1060,1065,0.0014397179274144468,0.14398684733052283,-0.008280103119385545,-8.96846146160713e-05
20,global_mean,mutation_identity,1065,0,0,0,1065,nan,nan,nan,-0.0011932243554508518
20,mutation_order_mean,mutation_identity,1065,0,0,0,1065,nan,nan,nan,0.0005173576844965614
20,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1065,0,0,1065,1065,nan,nan,-0.0064585398965054195,0.0027427211181092087
20,zscore_linear,ProtSSN_ensemble,1065,325,40,1065,1065,-0.0007823418476680013,0.039104242610090614,0.0003979080162513866,0.002195278997839345
20,zscore_linear,ProSST-128,1065,325,40,1065,1065,-0.0015047900063479699,0.0,-0.0038313332302112265,-0.0031936907908279096
20,zscore_linear,ProSST-4096,1065,325,40,1065,1065,-0.0018569990298166683,0.0,-0.004318263805292504,-7.051370574028877e-05
20,additive_plus_zscore,VenusREM,1065,325,40,1060,1065,-0.002330109711661774,0.04322144767528578,-0.01172920988579603,-0.00018864112247271635
20,zscore_linear,ProSST-1024,1065,325,40,1065,1065,-0.0025159275849793326,-0.0332211978995106,-0.005338001851982815,-0.0011614933355105135
20,additive_plus_zscore,ProSST-2048,1065,325,40,1060,1065,-0.002975666505005097,0.006450041800414414,-0.014957254917445949,0.002277211156190697
