budget,epistasis_bin,mean_delta_spearman,mean_delta_top1pct_recall,mean_pairwise_spearman,n_runs,selection_policy
20,high_epistasis,0.023663368406784856,0.06488795110383419,0.7853889198066184,55,coverage_proxy
20,high_epistasis,-0.028571549125956937,-0.03737373737373737,0.7250270798496877,55,high_additive_disagreement_proxy
20,high_epistasis,-0.014651542705590069,-0.03392581772800493,0.7559464540743943,55,oracle_high_residual
20,high_epistasis,0.0218237600562951,0.07957964839386987,0.7832397032109955,55,random_doubles
20,low_mid_epistasis,0.005829191909745838,0.0135466105846241,0.7298513746861406,275,coverage_proxy
20,low_mid_epistasis,-0.08244552884607613,-0.09117572758379786,0.6217192428098386,275,high_additive_disagreement_proxy
20,low_mid_epistasis,-0.10661889563617301,-0.10599066194982971,0.6426500104113001,275,oracle_high_residual
20,low_mid_epistasis,0.006499027321544296,0.00693478530861974,0.7306139668292804,275,random_doubles
50,high_epistasis,0.028886070621239865,0.08281269496608179,0.789608438061689,55,coverage_proxy
50,high_epistasis,-0.05907137339910971,0.07380952380952381,0.6779839689894294,55,high_additive_disagreement_proxy
50,high_epistasis,-0.01896678100070307,-0.04623423475821311,0.7624336065085384,55,oracle_high_residual
50,high_epistasis,0.026872969353790178,0.09171434479239352,0.7877682293867998,55,random_doubles
50,low_mid_epistasis,0.018760795323309477,0.032071504792593915,0.7425630265277491,275,coverage_proxy
50,low_mid_epistasis,-0.10044953326987098,-0.0565827183642749,0.5723829695479615,275,high_additive_disagreement_proxy
50,low_mid_epistasis,-0.13572406750579322,-0.14843563453006206,0.635539019384956,275,oracle_high_residual
50,low_mid_epistasis,0.01954159668207942,0.024208039758974505,0.7426545044217018,275,random_doubles
100,high_epistasis,0.026678564962616596,0.08367665477819258,0.7883198523434513,55,coverage_proxy
100,high_epistasis,-0.029484563661593393,0.05839345839345839,0.6861910186976835,55,high_additive_disagreement_proxy
100,high_epistasis,-0.016716521378802914,-0.044378973135288775,0.7757508803205425,55,oracle_high_residual
100,high_epistasis,0.025519482383712124,0.07954397870289484,0.7854876040323269,55,random_doubles
100,low_mid_epistasis,0.021820127983635997,0.029266785390392864,0.7455261791316025,270,coverage_proxy
100,low_mid_epistasis,-0.09551116838257973,-0.0060502669922536095,0.544590716320208,270,high_additive_disagreement_proxy
100,low_mid_epistasis,-0.15049025576828,-0.11407653869244748,0.6445995778513884,270,oracle_high_residual
100,low_mid_epistasis,0.021389370409544094,0.03605553803095062,0.7456353781496032,270,random_doubles
