assay,seed,double_budget,model,selection_policy,n_train_doubles,n_test_higher,spearman_higher,abs_spearman_higher,top1pct_recall_at_100,pair_coverage
F7YBW8_MESOW_Aakre_2015.csv,0,100,pairwise_plus_zscore:VenusREM,random_doubles,100,8656,0.29780217047986185,0.29780217047986185,0.20689655172413793,0.2141610399154839
F7YBW8_MESOW_Aakre_2015.csv,0,100,pairwise_plus_plm_ensemble,random_doubles,100,8656,0.29780224794966853,0.29780224794966853,0.20689655172413793,0.2141610399154839
F7YBW8_MESOW_Aakre_2015.csv,0,100,pairwise_residual_from_doubles,informative_pair_coverage,100,8656,0.27259015649058865,0.27259015649058865,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,0,100,pairwise_plus_zscore:ProSST-2048,informative_pair_coverage,100,8656,0.27259006980445927,0.27259006980445927,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,0,100,pairwise_plus_zscore:ESM3,informative_pair_coverage,100,8656,0.27259022526214155,0.27259022526214155,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,0,100,pairwise_plus_zscore:S2F_MSA,informative_pair_coverage,100,8656,0.27259031412021334,0.27259031412021334,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,0,100,pairwise_plus_zscore:VenusREM,informative_pair_coverage,100,8656,0.272590085346527,0.272590085346527,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,0,100,pairwise_plus_plm_ensemble,informative_pair_coverage,100,8656,0.27259009965818104,0.27259009965818104,0.27586206896551724,0.3198291304946948
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_residual_from_doubles,random_doubles,20,8656,0.2525606026059762,0.2525606026059762,0.28735632183908044,0.037779615084286435
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_plus_zscore:ProSST-2048,random_doubles,20,8656,0.25256080725011615,0.25256080725011615,0.28735632183908044,0.037779615084286435
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_plus_zscore:ESM3,random_doubles,20,8656,0.252560709520114,0.252560709520114,0.28735632183908044,0.037779615084286435
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_plus_zscore:S2F_MSA,random_doubles,20,8656,0.25256072356348236,0.25256072356348236,0.28735632183908044,0.037779615084286435
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_plus_zscore:VenusREM,random_doubles,20,8656,0.2525607010829915,0.2525607010829915,0.28735632183908044,0.037779615084286435
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_plus_plm_ensemble,random_doubles,20,8656,0.2525606048701913,0.2525606048701913,0.28735632183908044,0.037779615084286435
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_residual_from_doubles,informative_pair_coverage,20,8656,0.27615617529289216,0.27615617529289216,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_plus_zscore:ProSST-2048,informative_pair_coverage,20,8656,0.27615627625188327,0.27615627625188327,0.27586206896551724,0.0711956272105094
F7YBW8_MESOW_Aakre_2015.csv,1,20,pairwise_plus_zscore:ESM3,informative_pair_coverage,20,8656,0.27615635167716795,0.27615635167716795,0.27586206896551724,0.0711956272105094
